(Intercept) as.factor(phenotypes$Age.x)1 as.factor(phenotypes$Age.x)2 as.factor(phenotypes$Age.x)3 as.factor(phenotypes$Age.x)4 as.factor(phenotypes$Age.x)5 as.factor(phenotypes$Age.x)6 as.factor(phenotypes$Age.x)7 as.factor(phenotypes$Age.x)8 as.factor(phenotypes$Age.x)9 as.factor(phenotypes$Age.x)10 as.factor(phenotypes$Age.y)3 as.factor(phenotypes$Age.y)4 as.factor(phenotypes$Age.y)5 as.factor(phenotypes$Age.y)6 as.factor(phenotypes$Age.y)7 as.factor(phenotypes$Age.y)8 as.factor(phenotypes$Age.y)9 as.factor(phenotypes$Gen.Line)RAMB as.factor(phenotypes$Gen.Line)UNKN as.factor(phenotypes$Management.Group)1 as.factor(phenotypes$Management.Group)2 as.factor(phenotypes$Lambs.Birthed.x)2 as.factor(phenotypes$Lambs.Birthed.x)3 as.factor(phenotypes$Lambs.Birthed.x)4 as.factor(phenotypes$Lambs.Birthed.y)2 as.factor(phenotypes$Lambs.Birthed.y)3
-0.05316936 -0.08903604 0.1392178 -0.1084945 0.06591061 0.07213981 -0.1309647 0.1909791 0.1424789 -0.01317443 0.2571233 -0.05219054 0.2937598 0.3203152 0.1812935 0.5641367 0.876442 -0.09913963 -0.02353339 -0.222826 -0.08978979 -0.1404859 0.05116739 0.1992714 0.2907275 -0.01377678 0.05960567
-0.1169365 -0.07061501 0.02148534 -0.0955562 0.08640199 0.1396053 -0.02897409 0.2909614 0.0386039 -0.4617696 -1.27847 0.2810128 0.4272207 0.3811376 0.2388367 0.5430502 2.46184 2.66818 -0.02044109 -0.3506535 -0.2322425 -0.1348863 0.03902155 0.6265406 0.2959717 0.01153189 0.3867217
-0.1269813 -0.1534559 0.09624829 -0.1118834 0.08501535 0.1721933 -0.161677 0.2074453 -0.06636807 -0.4127727 -0.5805414 0.1418949 0.3846992 0.170439 0.3471404 0.2479952 2.190242 2.907085 0.1241383 -0.1606055 -0.4083231 -0.1981978 0.08380164 0.528089 0.1803107 0.06092041 0.3875719
-0.1586747 -0.9958559 0.3013492 0.01846524 0.2451309 0.1115804 0.02160474 0.1724061 0.04865676 -0.07186261 -0.7992697 0.0648516 0.29168 0.405625 0.5468752 -0.1205907 2.588055 1.558629 0.04376246 -0.2102094 -0.2628404 -0.1641794 0.1968148 0.3408842 0.2256814 0.03638246 0.1909492
-0.1301551 0.1784077 0.3316109 0.1263354 0.2291904 0.09199817 0.09465998 0.2344447 0.3279759 0.1210042 -1.225801 0.1611344 0.3644637 0.2554666 0.2629076 1.848013 2.239026 0.2597327 0.02590246 -0.1400044 -0.1709382 -0.05396228 0.08950529 0.4899591 0.7104102 -0.06009056 -0.2773513
-0.03925832 -0.1523868 0.1609415 0.1360682 0.03459399 -0.0008243564 0.1467612 0.3025374 0.09827702 -0.2829499 0.3891134 -0.05934689 0.2426227 -0.00406181 -0.308655 0.0919202 0.5295988 1.940276 0.4059099 0.02489006 0.4663324 0.005048966 0.1128202 0.5549398 0.1922883 -0.09239557 0.9288721
0.001147609 -0.7081363 0.1048585 -0.01164801 0.007868294 -0.09106348 0.03023642 0.2156454 -0.007204306 -0.4065766 -0.382555 0.04098332 0.3130436 0.3141308 -0.1756943 0.2163783 1.603347 0.565166 0.3583663 0.02566668 0.2727814 -0.04606727 0.2940789 0.4298189 0.2322989 -0.004019499 -0.04384939
-0.1803841 1.004683 0.1314895 0.2196659 0.1170836 0.1546224 0.1831265 0.3329413 -0.0480604 -0.01776162 0.4610505 0.1469246 0.2798737 0.2479946 -0.1523007 0.5879563 0.5167944 0.5602522 0.1782108 -0.09710571 0.276773 -0.06296964 0.2564629 0.5800072 0.5749443 0.09737741 0.3807228
-0.1226053 1.244438 0.1375476 0.1739828 0.2084462 0.175299 0.1088336 0.3050475 0.05080041 -0.394458 0.1764485 0.1478782 0.5681473 0.3541044 -0.437284 0.1493915 1.777514 0.462522 0.2247378 0.2597163 0.5448338 -0.2934515 0.1323316 0.02958861 0.1676563 0.03304799 0.3924329
-0.1415674 0.41146 0.5529042 0.1621476 0.3364397 0.3097188 0.3606132 0.6405073 0.4416874 0.1280937 -0.4064268 0.125394 0.2759808 0.346798 -0.2184066 -0.1394755 1.699445 1.329221 0.2140347 -0.2010389 0.466721 -0.02756028 0.07511244 0.4139391 0.5087222 0.1596358 1.078165
